"TEAM NAMES","Series Number",Filename,Name,Description,Gender,Attributes,sha256
,36,linda-the-navigator,"linda the navigator","Linda knows how to make a way for herself and the people around her.",Female,"hair: blonde; eyes: none; teeth: none; clothing:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure",309dc59db6c190e04e506dc28a756f65fdbaec59eb294822690d5c72c87d5a2a
,37,"kemi-the-iron lady","kemi the iron lady","Kemi the strongest woman known to the town of Igbede people.",Female,"hair: ginger; eyes: none; teeth: none; clothing: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist",cbb631c4236c2eddaa14493423977db8278ffa17e90839d7ad170ddcd3bc5858
,38,"mercy-the-sassy lady","mercy the sassy lady","Mercy is a confident woman and never hesistate to show it.",Female,"hair: brown; eyes: none; teeth:none; clothing: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive",37f970d24603e80788366e354182cf8ee4760a3bc99a3cc320eb8bf7e7bdc29c
,39,sandra-money,"sandra money","Sandra likes getting and spending money.",Female,"hair: brown; eyes: none; teeth:none; clothing:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker",2634df34ea79c25e479fd43a7bfb43e4ab4be0d81d06905742f39ce1c6bf1df7
,40,bimpe-the-fashionista,"bimpe the fashionista","Bimpe loves wearing trendy clothes and looking gorgeous.",Female,"hair: blonde; eyes: none; teeth:gap teeth; clothing: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination",826e30573b85f20a5f76a958699f8f508fef33558934a3a04f54290568fedd3b
"TEAM ENGINE",41,kim-rich-aunty,"kim rich aunty","She loves spoiling her nieces and nephew.",Female,"hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food",878d446748a80d0837be8c14f223a4de32ef0bdad92c00567ec02d3e7f295eb5
,42,barbra-stark,"barbra stark","She loves fine dining and spends time with family.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food",7a1596046582f31f091308b260c90b2fc9ce223d1d5a450b9bb7a80bb7db1fa2
,43,jean-art-dolger,"jean art dolger","Loves collecting art for charity.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food",229a0c8774c220e76fbc8b969753e9a79adaadf1c5c90e540231a8acfd4fb4ad
,44,"flora-burger- eater","flora burger eater","She loves eating burgers.",Female,"hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food",43d3098cb7e80e7a16639c069d6e4e112849a1a25d17e444c64c671eb9f82044
,45,jessie-lord-rings,"jessie lord rings","She loves her  (precious) jewelry.",Female,"hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy",fe076bd4bab09f0920d2552e871f19bfa840c4626b6f4ad286c45911f679aa0c
,46,pinky-monky-ponk,"pinky monky ponk","She love to dance the honky tonk.",Female,"hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips",069185916371b1797e30ae537f328d1b1fa1ab01a1ef8b301701d8523cbd6ea0
,47,wanjiru-hippie-glitter,"wanjiru hippie glitter","A hippie that loves her glitters.",Female,"hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies",c5dcb18b41d0d53b78f4ae43dcf05b1506a2ab39d421f8f86cf56e1ee56a9a70
,48,njoki-binary-coder,"njoki binary coder","She codes with the best language and tops the set.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none",1edc29078c05d2973ac4827f59b83062f5f10404f5dd27aa1202f5602f40b01a
,49,wangu-calaba-hustler,"wangu calaba hustler","She is a passionate hustler you should be careful with her.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying",2889338b517960b9c78b07b49dd91e8f8862f3c058d6c591a90225a712184bfd
,50,lulu-dey-kpako,"lulu dey kpako","She's is as enthusiastic as she is beautiful.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup",f007f65660c7fe20bf00d04f9138198c50a2bb2a7dec0b73442b7ca8d5b3efee
,51,kiki-cala-flier,"kiki cala flier","She flies first class and gets the best deals.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens",a2b2064882ec6d34f4c97b9741d24a61aa8ef0d474e3743e683eef7bf3d8ee16
,52,"purity-nft -investor","purity nft investor","She is an angel investor looking for the next big thing.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes",a7818fa18552286a0def42c8d4588d58bedc567646267b9db2f3cb467fbb685c
,53,june-binary-monk,"june binary monk","She has a twin from Tibet and they always play together .",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money",4344eef3848d522801a3090b7ad32494f20677d682f24152e8f057a9bb0bf6fb
,54,aisha-flying-damsel,"aisha flying damsel","She is always a damsel in distress and loves to fly.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food",1f2a6a516c29b7879c2c8801d640772a99222c2b41b7ca374efdd868a182acc3
,55,bobo-crypto-lovely,"bobo crypto lovely","She is a crypto guru you can trust all through.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water",705a7f252d995379a2d8f73c29177636f5adf6b79d1fbe2fa4ada6452f330b9a
,56,"nell-light -embrace","nell light embrace","She is an empathy ready with a kind word or hug.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love",d23ff949c46293c38a49aae24d7b5e8ac5e892d745c11118eabbb3cb3bf493f2
,57,rachel-mood-silent,"rachel mood silent","Introvert  to the core a mysterious lady.",Female,"hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls",ff3f8c0efafaf2e6ca117cd0be1b18b7f0f47989276dbbc5443406cec75b50ec
,58,nana-reflector-agent,"nana reflector agent","She loves her chrome fashion style.",Female,"hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy",1a605b052904cba5534787add8fcee21e188db740ab6d74c26eb559c62834880
,59,bree-busy-gossip,"bree busy gossip","Never whisper your secrets to her except you want the world to know.",Female,"hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height",4173ec6ce3cc41c84d30f619b5f700d16bc156d16005078f0a25729a06fe632e
,60,jude-shadow-fighter,"jude shadow fighter","A ninja warrior; the last samurai standing.",Female,"hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water",845f5e553e14f89caba9a4138eee0785170311fecd33e1a2b77fff96ef24de1f
"TEAM GRIT",61,toy-soldier,"toy soldier","A man stronger than an army.",Male,"hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strength: powerful; weakness: sentimental",14d9cd0e20283d09659b502335e17312aa08b433dbc39a2a0ec3f38fddc5e198
,62,pipey-rivers,"pipey rivers","A man who loves the water so much and fixes it's path.",Male,"hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strength: calculative; weakness: public speaking",3dccf31e4e18042a8e89084e3e73f23c2bb637f14b5b75fb254b9ccaed4e89fe
,63,phiri-of-zambia,"phiri of zambia","An african woman with strength and beauty.",Female,"hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strength: free spirit; weakness: blind ",23d8e29bb77c38e08d9cdd2de0c7d76ecd76144667724e67c34523b4f5d652a1
,64,patrick-of-bikinibottom,"patrick of bikinibottom","A white man who loves the african culture and associates with their dressing.",Male,"hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strength: adaptation; weakness: fluency",db00da674e8fcd55ef331195fd2626eb689aef0d22917d200c77ce8255ad042c
,65,nobuhle-of-zulu,"nobuhle of zulu","A woman; well endowed with beauty.",Female,"hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strength: cool headed; weakness: pressure",8e83fbc57240cc90ccb17033d522a96a345f8b9b4282dbc5fe2d16f995d6f48d
,66,nkosazana-of-xhosa,"nkosazana of xhosa","An african princess; always proud of her culture.",Female,"hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strength: confidence; weakness: endurance",5da84028be910ad0b0c31739b85668b55c8e8227cffe5a2d0976d7de92468a46
,67,mandla-of-zulu,"mandla of zulu","A simple and introverted guy who keeps to himself.",Male,"hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship",d486206593d8eb30e07ec8f331ebd19a9f7691ffd4a135956e57b36857289c4f
,68,john-doe,"john doe","A principled guy who is conscious of his health and ensures protection from infection.",Male,"hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expression: cold; strength: cleaniness; weakness: perfectionist",fe22e775e3ac424b887a525d0f2891a76d1b4f91dd5341b982d0429a1be913d9
,69,ghost-of-power,"ghost of power","A woman; stronger than ten men combined.",Female,"hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer",3b1d15295d0c7f16bb07680dcf7b583f0bc2d8d97f0972b5129234eabc45ba9c
,70,freida,freida,"A man who is always peaceful.",Male,"hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger",c58262b006a119cc20b403563a69f04017b5648ec533c9be5a5af10df7e03beb
,71,flamboyant-tree,"flamboyant tree","A beautiful african woman; billionaire in the making.",Female,"hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl",a19ce9a11ab5f675dff1f96002b80829b5e7c98c760c759d27aa7688fb10ac50
,72,david-of-accra,"david of accra","A combatant who fights and defends his people",Male,"hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping",311de2f8632545623c507656e7daea513caa2301eb63fac66a0737f48f4624d2
,73,cally-lily,"cally lily","A man who is a breathe of fresh air.",Male,"hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun",4c2602fad6ed9591dc530571950a5af389f279bce3327163450b85cb31fc636a
,74,bubune-of-accra,"bubune of accra","A man with honor; always conscious of his health.",Male,"hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie",20b554199c6f4e0208ac1f142591fbfdeb71f4fc82c271845e3f009b849fa914
,75,bediako-of-accra,"bediako of accra","A strong man; always ready to fight for what is right.",Male,"hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational",ad831345f3198cc447ada0e23e5f528b6cdf33ad3d6bdaadea0a834978eea7e5
,76,avatar-aang,"avatar aang","A man who is ready to save the world.",Male,"hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia",f0facd687781b9fb420cb6f35baebc7f6eb2ef43dc6cea1a83ef478b182f2c2a
,77,argus-greek,"argus greek","A man who you will always find on the look out.",Male,"hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness",5a094225a314dba487f618b52805b3ff41797dac17d53ccd6d4e33bc94caf07b
,78,amahle-of-zulu,"amahle of zulu","A traditional man; feeling fulfilled.",Male,"hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist",6136d99915676939d4ff0881ba5acca6aa007898772179473e0344565ab382bb
,79,agnar-ole,"agnar ole","A man who feels like an outcast and always has a battle with his mind.",Male,"hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying",50b82e7c8522212f44a07e75bb0d23705b2301c8a39ae4164d93240f6009ec44
,80,adom-kulu,"adom kulu","A ghanaian model; proud of his culture.",Male,"hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride",134d41195799fe3c8ba75492df62e3aa7c6593277b4ade125ded24ae74d97bd6
"TEAM PRYBAR",81,segun-baller,"segun baller","A man who loves to have fun.",Male,"hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant",cd6384e9babe69d7dd73c6befd8e3ca84c3ba59d62fca8c8c15eb49cbaa914d9
,82,bolanle-pepper-dem,"bolanle pepper dem","A lady that loves to show off.",Male,"hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender",f89eff333fa009d2dd31cbcdeed923044ac71b5e76addc63954ebc3a63a0516d
,83,tayo-tailor,"tayo tailor","A professional fashion designer.",Male,"hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated",be3074345f27017d4411f5819f2249f9bd54b773c1f7d7c9c0c8bd3d3f1d81bf
,84,ajasco-comedian,"ajasco comedian","A newbie comedian.",Male,"hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant",ee337237eef0735f2c4e19b31cba6bb2414ec77e96db7ec964f713ee89f9c284
,85,tobi-babyboy,"tobi babyboy","A guy who does not like stress.",Male,"hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries",d597e684c3a1aa65becbde575f0b60e60f71be66ada2628b5f7692f93be13478
,86,esther-sassy,"esther sassy","A rude lady.",Female,"hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace and earrings; expression: bold; strength: confident; weakness: judgemental",ff3070f882bf7f04477f7fe82bddcb04cdd5be93df70fb8a99a147dda7a10362
,87,ozo-fineboi,"ozo fineboi","A charming person.",Female,"hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker and hookah; expression: blank; strength: charismatic; weakness: proud",9b7093ac8f09d5d939380160e4bbbf646bfc67f2eaedb70a8d1dfface34392d3
,88,ade-party-girl,"ade party girl","The life of every party.",Female,"hair: brown; eyes: blue; teeth: gap-tooth; clothing: one sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive",a7ceff50b6c22df8f516d2931a6c65eeafd09cdd8fe24acc2aeadeed10721974
,89,john-casco,"john casco","A very observant person.",Female,"hair: black; eyes: blue; teeth: none; clothing: one-sleeved ankara top; accessories: earrings and necklace;  expression: shocked; strength: unpredictable; weakness: loner",f5f22330e145da9c84895812e25e30062471714789c90e1f831caa48aad72cbb
,90,agha-uwa,"agha uwa","A woman of high social class.",Female,"hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap and full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner",cc340b3c3796347d67c953146a0275937bb232085a9ab80b32c598572137b9e7
,91,udeme-great,"udeme great","A lady given to adventures.",Female,"hair: purple; eyes: black; teeth: none; clothing: ankara top with blue sleeves; accessories: green necklace and green earrings; expression: clueless; strength: decisive; weakness: stubborn",49c8587b0f8ec4f25ce3714082d84714cf10fe9d3594095c75b15e492efbd9b4
,92,femi-tech-bro,"femi tech bro","A rookie in the tech industry.",Female,"hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination",e69d53f1309c9d78000437b4c7f3761a95b4237f62e06e9be2f88e559ac20c76
,93,sai-baba,"sai baba","A leader of a third-world country.",Female,"hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings and necklace; expression: anxious; strength: trend spotter; weakness: distracted easily",e3d689a5e3efb6fad1651a662306df9242aaa28b487394893634d4e3f9840f0c
,94,omo-pastor,"omo pastor","A devout christian.",Female,"hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings and green necklace; expression: happy; strength: happiness; weakness: too emotional",cb859a6bd18af4c75028379b527e6fd467d20fdb7020af98df9b5a2d3f0313e2
,95,obi-container,"obi container","A rich South-Easterner.",Female,"hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker",d1ac631341bf894aae64167f92dc3b7838dfa68483939cbb839753e70b31413a
,96,erigga-international,"erigga international","Superstar from South-South.",Female,"hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace and red scrunchie; expression: curious; strength: talented; weakness: overconfident",bb7a02aa7550895da060897c312bac54e2cc17d2ff1a52ec265381ceda572b1a
,97,ayo-web3-bro,"ayo web3 bro","Someone with no actual knowledge of basic computer principles.",Female,"hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate",b3ca59122dbb29f997a452faf263eb37a338cba774052758b9674614ca16282b
